uf;ibge;municipio;2021;2020;nome_teste;2019;teste
MG;3101409;Albertina;3015;3011;Albertina;3007;certo
MA;2100204;Alcântara;22126;22112;Alcântara;22097;certo
CE;2300507;Alcântaras;11846;11781;Alcântaras;11714;certo
PB;2500536;Alcantil;5527;5509;Alcantil;5492;certo
MS;5000252;Alcinópolis;5489;5417;Alcinópolis;5343;certo
BA;2900801;Alcobaça;22509;22490;Alcobaça;22470;certo
MA;2100303;Aldeias Altas;26979;26757;Aldeias Altas;26532;certo
RS;4300307;Alecrim;5710;5827;Alecrim;5950;certo
ES;3200201;Alegre;29869;29975;Alegre;30084;certo
RS;4300406;Alegrete;72493;73028;Alegrete;73589;certo
PI;2200277;Alegrete do Piauí;4921;4918;Alegrete do Piauí;4915;certo
RS;4300455;Alegria;3287;3374;Alegria;3464;certo
MG;3101508;Além Paraíba;35438;35401;Além Paraíba;35362;certo
PA;1500404;Alenquer;57390;57092;Alenquer;56789;certo
RN;2400505;Alexandria;13529;13553;Alexandria;13577;certo
GO;5200308;Alexânia;28360;28010;Alexânia;27653;certo
MG;3101607;Alfenas;80973;80494;Alfenas;79996;certo
ES;3200300;Alfredo Chaves;14670;14636;Alfredo Chaves;14601;certo
SP;3500808;Alfredo Marcondes;4201;4184;Alfredo Marcondes;4166;certo
MG;3101631;Alfredo Vasconcelos;7052;6981;Alfredo Vasconcelos;6907;certo
SC;4200705;Alfredo Wagner;10136;10086;Alfredo Wagner;10036;certo
PB;2500577;Algodão de Jandaíra;2588;2577;Algodão de Jandaíra;2567;certo
PB;2500601;Alhandra;19865;19727;Alhandra;19588;certo
PE;2600708;Aliança;38408;38397;Aliança;38386;certo
TO;1700350;Aliança do Tocantins;5303;5346;Aliança do Tocantins;5390;certo
BA;2900900;Almadina;5273;5366;Almadina;5464;certo
TO;1700400;Almas;6905;6979;Almas;7055;certo
PA;1500503;Almeirim;34044;34076;Almeirim;34109;certo
MG;3101706;Almenara;42380;42143;Almenara;41896;certo
RN;2400604;Almino Afonso;4685;4710;Almino Afonso;4735;certo
PR;4100400;Almirante Tamandaré;121420;120041;Almirante Tamandaré;118623;certo
RS;4300471;Almirante Tamandaré do Sul;1935;1949;Almirante Tamandaré do Sul;1964;certo
GO;5200506;Aloândia;1976;1986;Aloândia;1995;certo
MG;3101805;Alpercata;7448;7436;Alpercata;7424;certo
RS;4300505;Alpestre;5885;6067;Alpestre;6258;certo
MG;3101904;Alpinópolis;20059;19958;Alpinópolis;19853;certo
MT;5100250;Alta Floresta;52105;51959;Alta Floresta;51782;certo
RO;1100015;Alta Floresta D'Oeste;22516;22728;Alta Floresta D'Oeste;22945;certo
SP;3500907;Altair;4211;4186;Altair;4160;certo
PA;1500602;Altamira;117320;115969;Altamira;114594;certo
MA;2100402;Altamira do Maranhão;8250;8189;Altamira do Maranhão;8128;certo
PR;4100459;Altamira do Paraná;1429;1682;Altamira do Paraná;1942;certo
CE;2300606;Altaneira;7712;7650;Altaneira;7586;certo
MG;3102001;Alterosa;14566;14517;Alterosa;14466;certo
PE;2600807;Altinho;22996;22984;Altinho;22972;certo
SP;3501004;Altinópolis;16221;16203;Altinópolis;16184;certo
RR;1400050;Alto Alegre;15249;15380;Alto Alegre;15510;certo
SP;3501103;Alto Alegre;4078;4088;Alto Alegre;4099;certo
RS;4300554;Alto Alegre;1590;1613;Alto Alegre;1638;certo
MA;2100436;Alto Alegre do Maranhão;28066;27858;Alto Alegre do Maranhão;27053;certo
MA;2100477;Alto Alegre do Pindaré;31967;31943;Alto Alegre do Pindaré;31919;certo
RO;1100379;Alto Alegre dos Parecis;13268;13255;Alto Alegre dos Parecis;13241;certo
MT;5100300;Alto Araguaia;19714;19385;Alto Araguaia;19044;certo
SC;4200754;Alto Bela Vista;1915;1926;Alto Bela Vista;1937;certo
MT;5100359;Alto Boa Vista;7092;6936;Alto Boa Vista;6822;certo
MG;3102050;Alto Caparaó;5938;5894;Alto Caparaó;5847;certo
RN;2400703;Alto do Rodrigues;14923;14728;Alto do Rodrigues;14529;certo
RS;4300570;Alto Feliz;3043;3036;Alto Feliz;3028;certo
MT;5100409;Alto Garças;12323;12151;Alto Garças;12030;certo
GO;5200555;Alto Horizonte;6796;6605;Alto Horizonte;6414;certo
MG;3153509;Alto Jequitibá;8286;8301;Alto Jequitibá;8317;certo
PI;2200301;Alto Longá;14371;14339;Alto Longá;14304;certo
MT;5100508;Alto Paraguai;11587;11473;Alto Paraguai;11356;certo
RO;1100403;Alto Paraíso;22258;21847;Alto Paraíso;21428;certo
PR;4128625;Alto Paraíso;2630;2685;Alto Paraíso;2741;certo
GO;5200605;Alto Paraíso de Goiás;7751;7688;Alto Paraíso de Goiás;7624;certo
PR;4100608;Alto Paraná;14945;14859;Alto Paraná;14770;certo
MA;2100501;Alto Parnaíba;11233;11212;Alto Parnaíba;11190;certo
PR;4100707;Alto Piquiri;9722;9778;Alto Piquiri;9836;certo
MG;3102100;Alto Rio Doce;10723;10859;Alto Rio Doce;11000;certo
ES;3200359;Alto Rio Novo;7911;7874;Alto Rio Novo;7836;certo
CE;2300705;Alto Santo;16077;17196;Alto Santo;17146;certo
MT;5100607;Alto Taquari;11413;11133;Alto Taquari;10847;certo
