uf;ibge;municipio;2021;2020;nome_teste;2019;teste
AL;2701605;Canapi;17715;17719;Canapi;17722;certo
BA;2906105;Canápolis;9694;9703;Canápolis;9711;certo
MG;3111804;Canápolis;12251;12201;Canápolis;12150;certo
BA;2906204;Canarana;26468;26325;Canarana;26176;certo
MT;5102702;Canarana;22101;21842;Canarana;21579;certo
SP;3509957;Canas;5268;5204;Canas;5138;certo
PI;2202251;Canavieira;3938;3944;Canavieira;3950;certo
BA;2906303;Canavieiras;30722;30906;Canavieiras;31099;certo
BA;2906402;Candeal;8109;8181;Candeal;8258;certo
BA;2906501;Candeias;87820;87458;Candeias;87076;certo
MG;3112000;Candeias;14890;14888;Candeias;14886;certo
RO;1100809;Candeias do Jamari;28068;27388;Candeias do Jamari;26693;certo
RS;4304200;Candelária;31475;31421;Candelária;31365;certo
BA;2906600;Candiba;14415;14368;Candiba;14319;certo
PR;4104402;Cândido de Abreu;14606;14809;Cândido de Abreu;15018;certo
RS;4304309;Cândido Godói;6106;6151;Cândido Godói;6198;certo
MA;2102606;Cândido Mendes;20376;20278;Cândido Mendes;20178;certo
SP;3510005;Cândido Mota;31410;31346;Cândido Mota;31280;certo
SP;3510104;Cândido Rodrigues;2805;2799;Cândido Rodrigues;2793;certo
BA;2906709;Cândido Sales;24921;25053;Cândido Sales;25189;certo
RS;4304358;Candiota;9707;9647;Candiota;9584;certo
PR;4104428;Candói;16126;16053;Candói;15979;certo
RS;4304408;Canela;45957;45488;Canela;44998;certo
SC;4203709;Canelinha;12553;12398;Canelinha;12240;certo
RN;2402204;Canguaretama;34814;34548;Canguaretama;34276;certo
RS;4304507;Canguçu;56370;56211;Canguçu;56045;certo
SE;2801108;Canhoba;4003;4006;Canhoba;4008;certo
PE;2603702;Canhotinho;24743;24773;Canhotinho;24804;certo
CE;2302800;Canindé;77484;77244;Canindé;76997;certo
SE;2801207;Canindé de São Francisco;30894;30402;Canindé de São Francisco;29900;certo
SP;3510153;Canitar;5365;5292;Canitar;5216;certo
RS;4304606;Canoas;349728;348208;Canoas;346616;certo
SC;4203808;Canoinhas;54558;54480;Canoinhas;54401;certo
BA;2906808;Cansanção;34929;34882;Cansanção;34834;certo
RR;1400175;Cantá;19257;18799;Cantá;18335;certo
MG;3112059;Cantagalo;4575;4551;Cantagalo;4525;certo
RJ;3301108;Cantagalo;20163;20168;Cantagalo;20172;certo
PR;4104451;Cantagalo;13340;13329;Cantagalo;13317;certo
MA;2102705;Cantanhede;22236;22117;Cantanhede;21995;certo
PI;2202307;Canto do Buriti;21326;21258;Canto do Buriti;21187;certo
BA;2906824;Canudos;16832;16753;Canudos;16668;certo
RS;4304614;Canudos do Vale;1693;1705;Canudos do Vale;1716;certo
AM;1300904;Canutama;15981;15807;Canutama;15629;certo
PA;1502202;Capanema;69828;69431;Capanema;69027;certo
PR;4104501;Capanema;19172;19148;Capanema;19124;certo
SC;4203253;Capão Alto;2467;2496;Capão Alto;2525;certo
SP;3510203;Capão Bonito;47098;47118;Capão Bonito;47138;certo
RS;4304622;Capão Bonito do Sul;1628;1641;Capão Bonito do Sul;1654;certo
RS;4304630;Capão da Canoa;55009;54051;Capão da Canoa;53049;certo
RS;4304655;Capão do Cipó;3745;3699;Capão do Cipó;3651;certo
RS;4304663;Capão do Leão;25462;25409;Capão do Leão;25354;certo
MG;3112109;Caparaó;5464;5451;Caparaó;5438;certo
AL;2701704;Capela;16907;16979;Capela;17053;certo
SE;2801306;Capela;34808;34514;Capela;34213;certo
RS;4304689;Capela de Santana;12183;12064;Capela de Santana;11940;certo
SP;3510302;Capela do Alto;21257;20985;Capela do Alto;20706;certo
BA;2906857;Capela do Alto Alegre;11597;11616;Capela do Alto Alegre;11637;certo
MG;3112208;Capela Nova;4616;4634;Capela Nova;4653;certo
MG;3112307;Capelinha;38321;38057;Capelinha;37784;certo
MG;3112406;Capetinga;6860;6890;Capetinga;6920;certo
PB;2504033;Capim;6715;6620;Capim;6523;certo
MG;3112505;Capim Branco;9896;9826;Capim Branco;9754;certo
BA;2906873;Capim Grosso;31055;30862;Capim Grosso;30662;certo
MG;3112604;Capinópolis;16294;16234;Capinópolis;16173;certo
SC;4203907;Capinzal;23218;23035;Capinzal;22848;certo
MA;2102754;Capinzal do Norte;10937;10935;Capinzal do Norte;10934;certo
CE;2302909;Capistrano;17830;17786;Capistrano;17738;certo
RS;4304697;Capitão;2770;2763;Capitão;2757;certo
MG;3112653;Capitão Andrade;5559;5514;Capitão Andrade;5468;certo
PI;2202406;Capitão de Campos;11471;11445;Capitão de Campos;11417;certo
MG;3112703;Capitão Enéas;15388;15313;Capitão Enéas;15234;certo
PI;2202455;Capitão Gervásio Oliveira;4127;4114;Capitão Gervásio Oliveira;4100;certo
PR;4104600;Capitão Leônidas Marques;15887;15834;Capitão Leônidas Marques;15780;certo
PA;1502301;Capitão Poço;54545;54425;Capitão Poço;54303;certo
MG;3112802;Capitólio;8693;8663;Capitólio;8632;certo
SP;3510401;Capivari;56973;56379;Capivari;55768;certo
SC;4203956;Capivari de Baixo;25477;25177;Capivari de Baixo;24871;certo
RS;4304671;Capivari do Sul;4793;4728;Capivari do Sul;4660;certo
AC;1200179;Capixaba;12280;12008;Capixaba;11733;certo
PE;2603801;Capoeiras;20048;20048;Capoeiras;20048;certo
MG;3112901;Caputira;9318;9308;Caputira;9298;certo
RS;4304713;Caraá;8426;8350;Caraá;8270;certo
RR;1400209;Caracaraí;22635;22283;Caracaraí;21926;certo
PI;2202505;Caracol;11009;10964;Caracol;10916;certo
MS;5002803;Caracol;6247;6182;Caracol;6116;certo
SP;3510500;Caraguatatuba;125194;123389;Caraguatatuba;121532;certo
MG;3113008;Caraí;23872;23780;Caraí;23685;certo
BA;2906899;Caraíbas;8659;8801;Caraíbas;8951;certo
PR;4104659;Carambeí;24225;23825;Carambeí;23415;certo
MG;3113107;Caranaíba;3150;3166;Caranaíba;3183;certo
MG;3113206;Carandaí;25831;25669;Carandaí;25501;certo
MG;3113305;Carangola;33022;33011;Carangola;33000;certo
RJ;3300936;Carapebus;16859;16586;Carapebus;16301;certo
SP;3510609;Carapicuíba;405375;403183;Carapicuíba;400927;certo
MG;3113404;Caratinga;93124;92603;Caratinga;92062;certo
AM;1301001;Carauari;28719;28508;Carauari;28294;certo
RN;2402303;Caraúbas;20588;20541;Caraúbas;20493;certo
PB;2504074;Caraúbas;4206;4185;Caraúbas;4162;certo
PI;2202539;Caraúbas do Piauí;5910;5890;Caraúbas do Piauí;5868;certo
BA;2906907;Caravelas;22166;22093;Caravelas;22016;certo
RS;4304705;Carazinho;62413;62265;Carazinho;62110;certo
MG;3113503;Carbonita;9423;9414;Carbonita;9405;certo
BA;2907004;Cardeal da Silva;9395;9346;Cardeal da Silva;9295;certo
SP;3510708;Cardoso;12371;12349;Cardoso;12326;certo
RJ;3301157;Cardoso Moreira;12818;12821;Cardoso Moreira;12823;certo
MG;3113602;Careaçu;6826;6792;Careaçu;6757;certo
AM;1301100;Careiro;38820;38348;Careiro;37869;certo
AM;1301159;Careiro da Várzea;31459;30846;Careiro da Várzea;30225;certo
ES;3201308;Cariacica;386495;383917;Cariacica;381285;certo
CE;2303006;Caridade;23011;22782;Caridade;22547;certo
PI;2202554;Caridade do Piauí;5102;5085;Caridade do Piauí;5067;certo
BA;2907103;Carinhanha;29118;29070;Carinhanha;29018;certo
SE;2801405;Carira;22393;22239;Carira;22082;certo
CE;2303105;Cariré;18470;18459;Cariré;18448;certo
TO;1703867;Cariri do Tocantins;4499;4441;Cariri do Tocantins;4382;certo
CE;2303204;Caririaçu;27008;26987;Caririaçu;26965;certo
CE;2303303;Cariús;18700;18699;Cariús;18699;certo
MT;5102793;Carlinda;10094;10199;Carlinda;10305;certo
PR;4104709;Carlópolis;14391;14356;Carlópolis;14320;certo
RS;4304804;Carlos Barbosa;30630;30241;Carlos Barbosa;29833;certo
MG;3113701;Carlos Chagas;18516;18674;Carlos Chagas;18837;certo
RS;4304853;Carlos Gomes;1327;1351;Carlos Gomes;1377;certo
MG;3113800;Carmésia;2660;2646;Carmésia;2632;certo
RJ;3301207;Carmo;19161;19030;Carmo;18895;certo
MG;3113909;Carmo da Cachoeira;12193;12182;Carmo da Cachoeira;12170;certo
MG;3114006;Carmo da Mata;11546;11511;Carmo da Mata;11476;certo
MG;3114105;Carmo de Minas;15031;14947;Carmo de Minas;14859;certo
MG;3114204;Carmo do Cajuru;22900;22693;Carmo do Cajuru;22478;certo
MG;3114303;Carmo do Paranaíba;30339;30334;Carmo do Paranaíba;30329;certo
MG;3114402;Carmo do Rio Claro;21310;21268;Carmo do Rio Claro;21225;certo
GO;5205000;Carmo do Rio Verde;10299;10186;Carmo do Rio Verde;10082;certo
TO;1703883;Carmolândia;2627;2603;Carmolândia;2580;certo
SE;2801504;Carmópolis;17232;16937;Carmópolis;16634;certo
MG;3114501;Carmópolis de Minas;19756;19559;Carmópolis de Minas;19355;certo
PE;2603900;Carnaíba;19666;19609;Carnaíba;19551;certo
RN;2402402;Carnaúba dos Dantas;8297;8239;Carnaúba dos Dantas;8180;certo
RN;2402501;Carnaubais;10972;10867;Carnaubais;10759;certo
CE;2303402;Carnaubal;17763;17685;Carnaubal;17606;certo
PE;2603926;Carnaubeira da Penha;13117;13025;Carnaubeira da Penha;12932;certo
MG;3114550;Carneirinho;10103;10066;Carneirinho;10027;certo
AL;2701803;Carneiros;9568;9159;Carneiros;9081;certo
RR;1400233;Caroebe;10595;10383;Caroebe;10169;certo
MA;2102804;Carolina;24151;24165;Carolina;24322;certo
PE;2604007;Carpina;85131;84395;Carpina;83641;certo
MG;3114600;Carrancas;4052;4049;Carrancas;4047;certo
PB;2504108;Carrapateira;2714;2687;Carrapateira;2659;certo
TO;1703891;Carrasco Bonito;4165;4130;Carrasco Bonito;4095;certo
PE;2604106;Caruaru;369343;365278;Caruaru;361118;certo
MA;2102903;Carutapera;24095;23952;Carutapera;23807;certo
MG;3114709;Carvalhópolis;3614;3597;Carvalhópolis;3579;certo
MG;3114808;Carvalhos;4445;4461;Carvalhos;4478;certo
SP;3510807;Casa Branca;30655;30520;Casa Branca;30380;certo
MG;3114907;Casa Grande;2251;2254;Casa Grande;2257;certo
BA;2907202;Casa Nova;73092;72545;Casa Nova;71969;certo
RS;4304903;Casca;9070;9051;Casca;9031;certo
MG;3115003;Cascalho Rico;3108;3092;Cascalho Rico;3075;certo
CE;2303501;Cascavel;72706;72232;Cascavel;71743;certo
PR;4104808;Cascavel;336073;332333;Cascavel;328454;certo
TO;1703909;Caseara;5514;5442;Caseara;5369;certo
RS;4304952;Caseiros;3228;3216;Caseiros;3202;certo
RJ;3301306;Casimiro de Abreu;45864;45041;Casimiro de Abreu;44184;certo
PE;2604155;Casinhas;14395;14368;Casinhas;14341;certo
PB;2504157;Casserengue;7530;7499;Casserengue;7468;certo
MG;3115102;Cássia;17741;17740;Cássia;17740;certo
SP;3510906;Cássia dos Coqueiros;2488;2505;Cássia dos Coqueiros;2523;certo
MS;5002902;Cassilândia;22063;22002;Cassilândia;21939;certo
PA;1502400;Castanhal;205667;203251;Castanhal;200793;certo
MT;5102850;Castanheira;8782;8749;Castanheira;8729;certo
RO;1100908;Castanheiras;2923;2987;Castanheiras;3052;certo
GO;5205059;Castelândia;3380;3407;Castelândia;3435;certo
ES;3201407;Castelo;37956;37747;Castelo;37534;certo
PI;2202604;Castelo do Piauí;19716;19715;Castelo do Piauí;19716;certo
SP;3511003;Castilho;21521;21267;Castilho;21006;certo
PR;4104907;Castro;72125;71809;Castro;71484;certo
BA;2907301;Castro Alves;26369;26318;Castro Alves;26264;certo
MG;3115300;Cataguases;75942;75540;Cataguases;75123;certo
GO;5205109;Catalão;113091;110983;Catalão;108823;certo
SP;3511102;Catanduva;123114;122497;Catanduva;121862;certo
PR;4105003;Catanduvas;10144;10167;Catanduvas;10189;certo
SC;4204004;Catanduvas;11106;10984;Catanduvas;10861;certo
CE;2303600;Catarina;21041;20871;Catarina;20698;certo
MG;3115359;Catas Altas;5465;5421;Catas Altas;5376;certo
MG;3115409;Catas Altas da Noruega;3665;3653;Catas Altas da Noruega;3641;certo
PE;2604205;Catende;43778;43340;Catende;42892;certo
SP;3511201;Catiguá;7905;7855;Catiguá;7804;certo
PB;2504207;Catingueira;4938;4935;Catingueira;4932;certo
BA;2907400;Catolândia;3619;3599;Catolândia;3577;certo
PB;2504306;Catolé do Rocha;30819;30684;Catolé do Rocha;30546;certo
BA;2907509;Catu;55222;54970;Catu;54704;certo
RS;4305009;Catuípe;8631;8701;Catuípe;8774;certo
MG;3115458;Catuji;6206;6257;Catuji;6311;certo
CE;2303659;Catunda;10410;10376;Catunda;10342;certo
GO;5205208;Caturaí;5132;5101;Caturaí;5070;certo
BA;2907558;Caturama;9303;9316;Caturama;9329;certo
PB;2504355;Caturité;4898;4875;Caturité;4852;certo
MG;3115474;Catuti;4944;4965;Catuti;4986;certo
CE;2303709;Caucaia;368918;365212;Caucaia;361400;certo
GO;5205307;Cavalcante;9740;9725;Cavalcante;9709;certo
MG;3115508;Caxambu;21566;21610;Caxambu;21656;certo
SC;4204103;Caxambu do Sul;3462;3551;Caxambu do Sul;3642;certo
MA;2103000;Caxias;166159;165525;Caxias;164880;certo
RS;4305108;Caxias do Sul;523716;517451;Caxias do Sul;510906;certo
PI;2202653;Caxingó;5477;5451;Caxingó;5424;certo
RN;2402600;Ceará-Mirim;74268;73886;Ceará-Mirim;73497;certo
MA;2103109;Cedral;10711;10693;Cedral;10675;certo
SP;3511300;Cedral;9452;9346;Cedral;9237;certo
CE;2303808;Cedro;25612;25585;Cedro;25557;certo
PE;2604304;Cedro;11972;11891;Cedro;11807;certo
SE;2801603;Cedro de São João;5929;5913;Cedro de São João;5897;certo
MG;3115607;Cedro do Abaeté;1150;1157;Cedro do Abaeté;1164;certo
SC;4204152;Celso Ramos;2709;2719;Celso Ramos;2728;certo
TO;1704105;Centenário;2966;2936;Centenário;2905;certo
RS;4305116;Centenário;2865;2877;Centenário;2891;certo
PR;4105102;Centenário do Sul;10704;10764;Centenário do Sul;10827;certo
BA;2907608;Central;17293;17280;Central;17266;certo
MG;3115706;Central de Minas;7059;7046;Central de Minas;7032;certo
MA;2103125;Central do Maranhão;8806;8740;Central do Maranhão;8673;certo
MG;3115805;Centralina;10343;10346;Centralina;10350;certo
MA;2103158;Centro do Guilherme;13876;13670;Centro do Guilherme;13458;certo
MA;2103174;Centro Novo do Maranhão;22056;21840;Centro Novo do Maranhão;21622;certo
RO;1100056;Cerejeiras;16088;16204;Cerejeiras;16323;certo
GO;5205406;Ceres;22407;22306;Ceres;22191;certo
SP;3511409;Cerqueira César;20391;20191;Cerqueira César;19985;certo
SP;3511508;Cerquilho;50631;49802;Cerquilho;48949;certo
RS;4305124;Cerrito;6005;6047;Cerrito;6091;certo
PR;4105201;Cerro Azul;17884;17833;Cerro Azul;17779;certo
RS;4305132;Cerro Branco;4720;4706;Cerro Branco;4691;certo
RN;2402709;Cerro Corá;11182;11181;Cerro Corá;11179;certo
RS;4305157;Cerro Grande;2281;2296;Cerro Grande;2311;certo
RS;4305173;Cerro Grande do Sul;12579;12413;Cerro Grande do Sul;12239;certo
RS;4305207;Cerro Largo;14243;14189;Cerro Largo;14133;certo
SC;4204178;Cerro Negro;3013;3068;Cerro Negro;3124;certo
SP;3511607;Cesário Lange;18595;18375;Cesário Lange;18148;certo
PR;4105300;Céu Azul;11872;11819;Céu Azul;11765;certo
GO;5205455;Cezarina;8794;8703;Cezarina;8606;certo
PE;2604403;Chã de Alegria;13641;13556;Chã de Alegria;13518;certo
PE;2604502;Chã Grande;21929;21815;Chã Grande;21698;certo
AL;2701902;Chã Preta;7311;7311;Chã Preta;7311;certo
MG;3115904;Chácara;3216;3186;Chácara;3154;certo
MG;3116001;Chalé;5695;5699;Chalé;5704;certo
RS;4305306;Chapada;9211;9239;Chapada;9269;certo
TO;1705102;Chapada da Natividade;3330;3331;Chapada da Natividade;3333;certo
TO;1704600;Chapada de Areia;1415;1410;Chapada de Areia;1406;certo
MG;3116100;Chapada do Norte;15334;15345;Chapada do Norte;15356;certo
MT;5103007;Chapada dos Guimarães;22521;19453;Chapada dos Guimarães;19752;certo
MG;3116159;Chapada Gaúcha;14217;13953;Chapada Gaúcha;13680;certo
GO;5205471;Chapadão do Céu;10797;10486;Chapadão do Céu;10167;certo
SC;4204194;Chapadão do Lageado;3025;3006;Chapadão do Lageado;2988;certo
MS;5002951;Chapadão do Sul;26499;25865;Chapadão do Sul;25218;certo
MA;2103208;Chapadinha;80705;80195;Chapadinha;79675;certo
SC;4204202;Chapecó;227587;224013;Chapecó;220367;certo
SP;3511706;Charqueada;17539;17367;Charqueada;17190;certo
RS;4305355;Charqueadas;41705;41258;Charqueadas;40789;certo
RS;4305371;Charrua;3228;3252;Charrua;3279;certo
CE;2303907;Chaval;13112;13091;Chaval;13069;certo
SP;3557204;Chavantes;12418;12418;Chavantes;12418;certo
PA;1502509;Chaves;24175;23948;Chaves;23717;certo
MG;3116209;Chiador;2657;2671;Chiador;2687;certo
RS;4305405;Chiapetta;3684;3719;Chiapetta;3756;certo
PR;4105409;Chopinzinho;19083;19167;Chopinzinho;19254;certo
CE;2303931;Choró;13608;13565;Choró;13521;certo
CE;2303956;Chorozinho;20286;20274;Chorozinho;20264;certo
BA;2907707;Chorrochó;11221;11200;Chorrochó;11177;certo
RS;4305439;Chuí;6832;6770;Chuí;6704;certo
RO;1100924;Chupinguaia;11755;11472;Chupinguaia;11182;certo
RS;4305447;Chuvisca;5518;5480;Chuvisca;5441;certo
PR;4105508;Cianorte;84980;83816;Cianorte;82620;certo
BA;2907806;Cícero Dantas;32636;32576;Cícero Dantas;32515;certo
PR;4105607;Cidade Gaúcha;12939;12797;Cidade Gaúcha;12652;certo
GO;5205497;Cidade Ocidental;74370;72890;Cidade Ocidental;71376;certo
MA;2103257;Cidelândia;14855;14777;Cidelândia;14697;certo
RS;4305454;Cidreira;16897;16583;Cidreira;16254;certo
BA;2907905;Cipó;17402;17352;Cipó;17300;certo
MG;3116308;Cipotânea;6811;6799;Cipotânea;6787;certo
RS;4305504;Ciríaco;4693;4719;Ciríaco;4747;certo
MG;3116407;Claraval;4873;4853;Claraval;4843;certo
MG;3116506;Claro dos Poções;7478;7514;Claro dos Poções;7551;certo
MT;5103056;Cláudia;12338;12245;Cláudia;12149;certo
MG;3116605;Cláudio;29093;28859;Cláudio;28617;certo
SP;3511904;Clementina;8894;8757;Clementina;8617;certo
PR;4105706;Clevelândia;16344;16450;Clevelândia;16559;certo
BA;2908002;Coaraci;16128;16549;Coaraci;16993;certo
AM;1301209;Coari;86713;85910;Coari;85097;certo
PI;2202703;Cocal;27901;27845;Cocal;27787;certo
PI;2202711;Cocal de Telha;4908;4899;Cocal de Telha;4891;certo
SC;4204251;Cocal do Sul;16956;16821;Cocal do Sul;16684;certo
PI;2202729;Cocal dos Alves;6180;6168;Cocal dos Alves;6153;certo
MT;5103106;Cocalinho;5716;5681;Cocalinho;5700;certo
GO;5205513;Cocalzinho de Goiás;20771;20504;Cocalzinho de Goiás;20240;certo
BA;2908101;Cocos;18835;18807;Cocos;18777;certo
AM;1301308;Codajás;29691;29168;Codajás;28637;certo
MA;2103307;Codó;123368;123116;Codó;122859;certo
MA;2103406;Coelho Neto;49804;49621;Coelho Neto;49435;certo
MG;3116704;Coimbra;7631;7594;Coimbra;7556;certo
AL;2702009;Coité do Nóia;10594;10643;Coité do Nóia;10693;certo
PI;2202737;Coivaras;4044;4032;Coivaras;4020;certo
PA;1502608;Colares;12175;12131;Colares;12085;certo
ES;3201506;Colatina;124283;123400;Colatina;122499;certo
MT;5103205;Colíder;33855;33649;Colíder;33438;certo
SP;3512001;Colina;18601;18535;Colina;18468;certo
MA;2103505;Colinas;41443;41312;Colinas;41178;certo
RS;4305587;Colinas;2466;2469;Colinas;2438;certo
GO;5205521;Colinas do Sul;3339;3360;Colinas do Sul;3382;certo
TO;1705508;Colinas do Tocantins;36271;35851;Colinas do Tocantins;35424;certo
TO;1716703;Colméia;8078;8141;Colméia;8205;certo
MT;5103254;Colniza;41117;39861;Colniza;38582;certo
SP;3512100;Colômbia;6223;6216;Colômbia;6210;certo
PR;4105805;Colombo;249277;246540;Colombo;243726;certo
PI;2202752;Colônia do Gurguéia;6545;6516;Colônia do Gurguéia;6484;certo
PI;2202778;Colônia do Piauí;7665;7661;Colônia do Piauí;7656;certo
AL;2702108;Colônia Leopoldina;21935;21818;Colônia Leopoldina;21698;certo
PR;4105904;Colorado;24271;24145;Colorado;24012;certo
RS;4305603;Colorado;3088;3130;Colorado;3175;certo
RO;1100064;Colorado do Oeste;15213;15544;Colorado do Oeste;15882;certo
MG;3116803;Coluna;8810;8841;Coluna;8873;certo
TO;1705557;Combinado;4870;4861;Combinado;4852;certo
MG;3116902;Comendador Gomes;3128;3120;Comendador Gomes;3111;certo
RJ;3300951;Comendador Levy Gasparian;8590;8576;Comendador Levy Gasparian;8561;certo
MG;3117009;Comercinho;6624;6774;Comercinho;6929;certo
MT;5103304;Comodoro;21249;21008;Comodoro;20763;certo
PB;2504405;Conceição;19030;19007;Conceição;18982;certo
MG;3117108;Conceição da Aparecida;10351;10322;Conceição da Aparecida;10292;certo
ES;3201605;Conceição da Barra;31479;31273;Conceição da Barra;31063;certo
MG;3115201;Conceição da Barra de Minas;3939;3946;Conceição da Barra de Minas;3954;certo
BA;2908200;Conceição da Feira;22933;22762;Conceição da Feira;22581;certo
MG;3117306;Conceição das Alagoas;28782;28346;Conceição das Alagoas;27893;certo
MG;3117207;Conceição das Pedras;2814;2813;Conceição das Pedras;2812;certo
MG;3117405;Conceição de Ipanema;4581;4578;Conceição de Ipanema;4574;certo
RJ;3301405;Conceição de Macabu;23561;23398;Conceição de Macabu;23228;certo
BA;2908309;Conceição do Almeida;17087;17165;Conceição do Almeida;17247;certo
PA;1502707;Conceição do Araguaia;48115;47991;Conceição do Araguaia;47864;certo
PI;2202802;Conceição do Canindé;4811;4807;Conceição do Canindé;4803;certo
ES;3201704;Conceição do Castelo;12887;12806;Conceição do Castelo;12723;certo
BA;2908408;Conceição do Coité;67394;67013;Conceição do Coité;66612;certo
BA;2908507;Conceição do Jacuípe;33631;33398;Conceição do Jacuípe;33153;certo
MA;2103554;Conceição do Lago-Açu;16559;16400;Conceição do Lago-Açu;16237;certo
MG;3117504;Conceição do Mato Dentro;17438;17503;Conceição do Mato Dentro;17842;certo
MG;3117603;Conceição do Pará;5558;5533;Conceição do Pará;5507;certo
MG;3117702;Conceição do Rio Verde;13729;13684;Conceição do Rio Verde;13638;certo
TO;1705607;Conceição do Tocantins;4070;4087;Conceição do Tocantins;4105;certo
MG;3117801;Conceição dos Ouros;11852;11748;Conceição dos Ouros;11638;certo
SP;3512209;Conchal;28491;28273;Conchal;28050;certo
SP;3512308;Conchas;18138;18019;Conchas;17896;certo
SC;4204301;Concórdia;75683;75167;Concórdia;74641;certo
PA;1502756;Concórdia do Pará;34236;33781;Concórdia do Pará;33318;certo
PB;2504504;Condado;6662;6658;Condado;6654;certo
PE;2604601;Condado;26755;26590;Condado;26421;certo
PB;2504603;Conde;25341;25010;Conde;24670;certo
BA;2908606;Conde;26223;26035;Conde;25837;certo
BA;2908705;Condeúba;17113;17178;Condeúba;17247;certo
RS;4305702;Condor;6766;6759;Condor;6753;certo
MG;3117836;Cônego Marinho;7730;7686;Cônego Marinho;7642;certo
MG;3117876;Confins;6867;6800;Confins;6730;certo
MT;5103353;Confresa;32076;31510;Confresa;30933;certo
PB;2504702;Congo;4787;4787;Congo;4786;certo
MG;3117900;Congonhal;12209;12082;Congonhal;11950;certo
MG;3118007;Congonhas;55836;55309;Congonhas;54762;certo
MG;3118106;Congonhas do Norte;5047;5046;Congonhas do Norte;5045;certo
PR;4106001;Congonhinhas;8896;8857;Congonhinhas;8818;certo
MG;3118205;Conquista;6997;6969;Conquista;6939;certo
MT;5103361;Conquista D'Oeste;4163;4101;Conquista D'Oeste;4038;certo
MG;3118304;Conselheiro Lafaiete;130584;129606;Conselheiro Lafaiete;128589;certo
PR;4106100;Conselheiro Mairinck;3891;3876;Conselheiro Mairinck;3860;certo
MG;3118403;Conselheiro Pena;22975;22949;Conselheiro Pena;22921;certo
MG;3118502;Consolação;1786;1784;Consolação;1783;certo
RS;4305801;Constantina;9903;9907;Constantina;9911;certo
MG;3118601;Contagem;673849;668949;Contagem;663855;certo
PR;4106209;Contenda;19082;18837;Contenda;18584;certo
BA;2908804;Contendas do Sincorá;4025;4045;Contendas do Sincorá;4066;certo
MG;3118700;Coqueiral;9099;9128;Coqueiral;9159;certo
RS;4305835;Coqueiro Baixo;1490;1495;Coqueiro Baixo;1501;certo
AL;2702207;Coqueiro Seco;5882;5864;Coqueiro Seco;5845;certo
RS;4305850;Coqueiros do Sul;2267;2286;Coqueiros do Sul;2306;certo
MG;3118809;Coração de Jesus;26620;26611;Coração de Jesus;26602;certo
BA;2908903;Coração de Maria;22391;22495;Coração de Maria;22605;certo
PR;4106308;Corbélia;17162;17117;Corbélia;17071;certo
RJ;3301504;Cordeiro;22152;22041;Cordeiro;21926;certo
SP;3512407;Cordeirópolis;25116;24826;Cordeirópolis;24528;certo
BA;2909000;Cordeiros;8667;8642;Cordeiros;8614;certo
SC;4204350;Cordilheira Alta;4585;4520;Cordilheira Alta;4453;certo
MG;3118908;Cordisburgo;8903;8897;Cordisburgo;8890;certo
MG;3119005;Cordislândia;3546;3542;Cordislândia;3538;certo
CE;2304004;Coreaú;23340;23239;Coreaú;23136;certo
PB;2504801;Coremas;15438;15441;Coremas;15445;certo
MS;5003108;Corguinho;6158;6054;Corguinho;5947;certo
BA;2909109;Coribe;14108;14149;Coribe;14194;certo
MG;3119104;Corinto;23607;23668;Corinto;23731;certo
PR;4106407;Cornélio Procópio;47840;47842;Cornélio Procópio;47845;certo
MG;3119203;Coroaci;9897;9943;Coroaci;9991;certo
SP;3512506;Coroados;6197;6129;Coroados;6058;certo
MA;2103604;Coroatá;65788;65544;Coroatá;65296;certo
MG;3119302;Coromandel;27958;27966;Coromandel;27974;certo
RS;4305871;Coronel Barros;2521;2520;Coronel Barros;2519;certo
RS;4305900;Coronel Bicaco;7213;7268;Coronel Bicaco;7325;certo
PR;4106456;Coronel Domingos Soares;7538;7518;Coronel Domingos Soares;7497;certo
RN;2402808;Coronel Ezequiel;5501;5504;Coronel Ezequiel;5506;certo
MG;3119401;Coronel Fabriciano;110709;110290;Coronel Fabriciano;109855;certo
SC;4204400;Coronel Freitas;9900;9940;Coronel Freitas;9981;certo
RN;2402907;Coronel João Pessoa;4918;4915;Coronel João Pessoa;4912;certo
BA;2909208;Coronel João Sá;15549;15717;Coronel João Sá;15895;certo
PI;2202851;Coronel José Dias;4688;4685;Coronel José Dias;4682;certo
SP;3512605;Coronel Macedo;4591;4635;Coronel Macedo;4681;certo
SC;4204459;Coronel Martins;2560;2555;Coronel Martins;2549;certo
MG;3119500;Coronel Murta;9209;9215;Coronel Murta;9222;certo
MG;3119609;Coronel Pacheco;3095;3090;Coronel Pacheco;3086;certo
RS;4305934;Coronel Pilar;1602;1614;Coronel Pilar;1628;certo
MS;5003157;Coronel Sapucaia;15449;15352;Coronel Sapucaia;15253;certo
PR;4106506;Coronel Vivida;20430;20580;Coronel Vivida;20734;certo
MG;3119708;Coronel Xavier Chaves;3448;3441;Coronel Xavier Chaves;3434;certo
MG;3119807;Córrego Danta;3168;3191;Córrego Danta;3215;certo
MG;3119906;Córrego do Bom Jesus;3685;3694;Córrego do Bom Jesus;3704;certo
GO;5205703;Córrego do Ouro;2254;2290;Córrego do Ouro;2327;certo
MG;3119955;Córrego Fundo;6425;6382;Córrego Fundo;6337;certo
